sample_idx,orient_idx,setpoint,wall_r,roof_r,fr1_kh,fr2_kwh,fr1_SPACE1-1_kh,fr1_SPACE2-1_kh,fr1_SPACE3-1_kh,fr1_SPACE4-1_kh,fr1_SPACE5-1_kh
44,1,24.720981523394585,1.6173099596053362,1.6690192678943276,2757.4992001363453,66441.72,463.73388553908086,1031.9289269969738,948.6798107865906,309.8586364265024,3.297940387197718
45,1,23.221550839021802,0.9253425914794207,1.6690192678943276,6568.84591634111,69711.17,1157.4874238108825,2262.894903542556,1849.335104259168,991.8763663925383,307.2521183359645
46,1,23.221550839021802,1.6173099596053362,2.456258471123874,5683.961527424625,65611.16,951.2025388480936,2074.6293856782295,1623.7302824333399,818.9926714855143,215.40664897944762
47,1,24.720981523394585,0.9253425914794207,2.456258471123874,2938.8292327247595,66680.61,491.1816013267268,1110.7816776971642,1018.8645634391017,317.7481445552505,0.2532457065157896
48,1,24.778689756058156,0.8530090171843767,1.8492156630381942,3104.05083864645,68361.17,534.945138250837,1154.2789587478162,1056.2131143972524,355.55845961092797,3.0551676396160055
49,3,24.778689756058156,0.8530090171843767,1.8492156630381942,3045.088155968078,68213.94,395.70153887515136,353.52802150925623,1149.3669335957115,1134.1152075094697,12.37645447848891
50,1,24.92083998862654,0.8530090171843767,1.8492156630381942,2892.2825497241924,68280.61,493.63286800965955,1085.4534173730542,997.7693620511169,314.6401710194785,0.7867312708832435
51,1,24.778689756058156,2.1781768016517162,1.8492156630381942,2412.5727999975165,64988.94,391.59053244129,920.3645196000818,852.9726202728499,247.3532852617036,0.2918424215915678
52,1,24.778689756058156,0.8530090171843767,1.0581557201221585,3554.1225961155947,71830.61,639.0234449229096,1272.4670182173372,1155.6215074623692,456.8792530681397,30.131372444838583
53,3,24.92083998862654,2.1781768016517162,1.0581557201221585,2626.4430966213345,68191.72,301.17620740539047,309.77087370021474,1035.8305087871324,957.6252655976357,22.040241130960922
54,2,24.212213017977774,1.6772214341908693,3.1940545765683055,3625.255548800074,63511.16,219.49549678112226,1152.2095040007584,1171.5050754722258,1077.1486524581871,4.896820087780075
55,1,24.212213017977774,1.6772214341908693,3.1940545765683055,3138.66058104537,63869.5,503.7868924903324,1212.086534563806,1063.4575499993596,357.1462859645843,2.183318027287437
56,2,23.060806094668806,1.6772214341908693,3.1940545765683055,6531.220418273981,64200.05,628.2507616787033,1729.1917068989098,2161.852873954854,1709.0869055163182,302.8381702251957
57,2,24.212213017977774,1.2564224749803543,3.1940545765683055,3859.8290604373233,64408.38,245.04499369772063,1223.190536007306,1234.500512486136,1150.228758829829,6.864259416331613
58,2,24.212213017977774,1.6772214341908693,3.3345791725441813,3600.29224268506,63369.5,214.09289348698744,1144.2141980851236,1166.8200428645741,1071.259032822159,3.9060754262157698
59,1,23.060806094668806,1.2564224749803543,3.3345791725441813,6258.637968380575,65358.39,1025.995668468876,2288.574036740128,1738.5892304201323,911.4672868427842,294.0117459086549
60,2,25.38733396027237,1.220319913700223,1.4973590252920985,2650.0578030754677,67327.83,111.49034554613499,947.4146302660527,804.262650580942,786.8901766823383,0.0
61,1,25.38733396027237,1.220319913700223,1.4973590252920985,2141.8284662745896,67719.5,353.44754514883226,829.6316312206005,768.8410119172488,189.90827798790787,0.0
62,2,24.261684340424836,1.220319913700223,1.4973590252920985,4386.480407476844,67994.5,353.8635726577267,1374.865544376183,1334.490879496295,1266.006577611521,57.25383333511883
63,2,25.38733396027237,1.6660626847296953,1.4973590252920985,2437.5410711008553,66258.39,96.29135895908118,883.1163077468195,741.4399026129333,716.6935017820213,0.0
64,2,25.38733396027237,1.220319913700223,3.0072973361238837,2257.0802873631837,64088.94,58.53194106498745,820.4001114999284,685.3369686385688,692.8112661596994,0.0
65,1,24.261684340424836,1.6660626847296953,3.0072973361238837,3090.1385885029968,64066.72,498.2312376296374,1188.4716725971498,1050.7019628382695,350.6152538638189,2.118461574121268
66,1,23.69146270211786,2.310154678300023,3.5458193933591247,3894.401527962419,63002.83,620.7323057734598,1527.2101453501286,1228.7220122926028,487.0891393654211,30.647925180806954
67,2,23.69146270211786,2.310154678300023,3.5458193933591247,4385.368102844993,62672.27,325.9718479120856,1294.684056237128,1478.975236847317,1242.9619715204753,42.77499032798672
68,1,25.407510335557163,2.310154678300023,3.5458193933591247,1354.3779709120568,62086.16,181.1063407747306,554.3217073225559,555.7399769909724,63.209945823797945,0.0
69,1,23.69146270211786,0.776291636750102,3.5458193933591247,4837.0711817597,66666.72,833.283538186177,1795.7460715520729,1495.3770673697622,656.3588969260722,56.305607725615154
70,1,23.69146270211786,2.310154678300023,2.2251506531611085,4212.332655118304,64697.27,704.5160760821335,1572.3993155628134,1300.2002670375277,565.8527622725213,69.36423416330739
71,2,25.407510335557163,0.776291636750102,2.2251506531611085,2732.3450014679415,67052.83,98.51624765200484,971.1837507171564,827.291948116952,835.3530549818282,0.0
72,0,25.92513468209654,1.8029237296432257,3.7835638374090195,970.356195168388,61744.49,13.507801027433349,409.9949175562004,19.731662658094777,527.1218139266596,0.0
73,2,25.92513468209654,1.8029237296432257,3.7835638374090195,1439.4007785368067,62027.83,8.129580119449415,574.413202106137,418.7680223862275,438.0899739249927,0.0
